SMILES,HOMO,LUMO,J,V,FF,PCE,refJ,refV,refFF,refPCE,doi
CCCCCCCCN(CCCCCCCC)C(C=C1)=CC=C1/C=C/C(C=C2)=CC=C2/C=C/C(C=C3)=CC=C3/C=C/C4=CC=C(N(C5=CC=C(/C=C/C6=CC=C(/C=C/C7=CC=C(/C=C/C8=CC=C(N(CCCCCCCC)CCCCCCCC)C=C8)C=C7)C=C6)C=C5)C9=CC=C(/C=C/C%10=CC=C(/C=C/C%11=CC=C(/C=C/C%12=CC=C(N(CCCCCCCC)CCCCCCCC)C=C%12)C=C%11)C=C%10)C=C9)C=C4,-5.18,-2.73,20.34,0.95,0.61,12.22,20.84,1.02,0.7,14.93,10.1002/ente.201600517
CCN(C1=C2C=CC(C3=CC=C(N(C4=CC=C(OC)C=C4)C5=CC=C(OC)C=C5)C=C3)=C1)C6=C2C(N(CC)C7=C8C=CC(C9=CC=C(N(C%10=CC=C(OC)C=C%10)C%11=CC=C(OC)C=C%11)C=C9)=C7)=C8C%12=C6C%13=CC=C(C%14=CC=C(N(C%15=CC=C(OC)C=C%15)C%16=CC=C(OC)C=C%16)C=C%14)C=C%13N%12CC,-5.34,-,19.8,0.98,0.72,13.9,20.6,0.96,0.71,14.1,10.1039/c6ta09314k
CCN(C1=C2C=CC(C3=CC=C(OC)C=C3)=C1)C4=C2C(N(CC)C5=C6C=CC(C7=CC=C(OC)C=C7)=C5)=C6C8=C4C9=CC=C(C%10=CC=C(OC)C=C%10)C=C9N8CC,-5.41,-,21.4,1,0.73,15.5,20.6,0.96,0.71,14.1,10.1039/c6ta09314k
CCCCCCCCSC(C1)=CC=C1C2=C(C=C(C3=CC=C(C4=C5C(C(N4CC(CCCC)CC)=O)=CN(CC(CCCC)CC)C5=O)S3)S6)C6=C(C7=CC=C(SCCCCCCCC)C7)C8=C2SC(C9=CC=C(C%10=C%11C(C(N%10CC(CCCC)CC)=O)=CN(CC(CCCC)CC)C%11=O)S9)=C8,-5.3,-3.5,22,1.06,0.78,21.5,21.3,1.04,0.76,20.7,10.1002/advs.201700025
COC1=CC=C(N(C2=CC(N(C3=CC=C(OC)C=C3)C4=CC=C(OC)C=C4)=CC(N5CC)=C2C6=C5C=C(N(C7=CC=C(OC)C=C7)C8=CC=C(OC)C=C8)C=C6N(C9=CC=C(OC)C=C9)C%10=CC=C(OC)C=C%10)C%11=CC=C(OC)C=C%11)C=C1,-5.27,-2.52,22.26,1.14,0.71,17.81,22.45,1.13,0.74,18.59,10.1002/cssc.201700678
COC1=CC=C(N(C2=CC=C(C3=CC(C(C)(C)C(C=C(C4=CC=C(N(C5=CC=C(OC)C=C5)C6=CC=C(OC)C=C6)C=C4)C=C7)=C7N8C9=CC=C(OC)C=C9)=C8C=C3)C=C2)C%10=CC=C(OC)C=C%10)C=C1,-5.03,-2.05,21.96,1.03,0.74,16.83,21.73,1.02,0.74,16.44,10.1039/c7ta01248a
CSC1=CC=C(N(C2=CC=C(C3=CC(C(C=C(C4=CC=C(N(C5=CC=C(SC)C=C5)C6=CC=C(SC)C=C6)C=C4)C=C7)=C7N8CC(CCCC)CC)=C8C=C3)C=C2)C9=CC=C(SC)C=C9)C=C1,-4.9,-1.98,21.22,0.95,0.64,12.91,22.32,1.02,0.73,16.7,10.1021/acs.jpcc.7b04469
COC1=CC=C(N(C2=CC=C(C3=CC=C(C4=CC=C(C5=CC=C(N(C6=CC=C(OC)C=C6)C7=CC=C(OC)C=C7)C=C5)C=C4)C=C3)C=C2)C8=CC=C(OC)C=C8)C=C1,-5.36,-2.44,21.11,1,0.7,13.27,21.44,1.1,0.71,16.81,10.1002/aelm.201700139
COC1=CC=C(N(C2=CC=C(C3=CC=C(/C=C/C4=CC=C(C5=CC=C(N(C6=CC=C(OC)C=C6)C7=CC=C(OC)C=C7)C=C5)C=C4)C=C3)C=C2)C8=CC=C(OC)C=C8)C=C1,-5.48,-2.21,21.11,1.1,0.71,16.42,21.44,1.1,0.71,16.81,10.1002/aelm.201700139
COC1=CC=C(N(C2=CC=C(C3=CC=C(N(C4=CC=C(OC)C=C4)C5=CC=C(OC)C=C5)C=C3)C=C2)C6=CC=C(OC)C=C6)C=C1,-5.31,-2.35,20.81,1.06,0.65,14.4,22.14,1.08,0.65,15.6,10.1016/j.jpowsour.2017.01.092
COC1=CC(OC)=CC=C1C2=CC=C(N(C3=CC=C(C4=CC=C(N(C5=CC=C(C6=C(OC)C=C(OC)C=C6)C=C5)C7=CC=C(C8=CC=C(OC)C=C8OC)C=C7)C=C4)C=C3)C9=CC=C(C%10=C(OC)C=C(OC)C=C%10)C=C9)C=C2,-5.37,-2.45,22.59,1.09,0.67,16.4,22.14,1.08,0.65,15.6,10.1016/j.jpowsour.2017.01.092
COC1=CC=C(N(C2=CC(/C3=C\C4=CC=C(N(C5=CC=CC=C5)C6=CC=CC=C6)C=C4)=C(C7=C3C=C(N(C8=CC=C(OC)C=C8)C9=CC=C(OC)C=C9)C=C7)C=C2)C%10=CC=C(OC)C=C%10)C=C1,-5.13,-0.08,19.08,1.01,0.76,14.52,21.61,1.09,0.75,17.88,10.1038/s41598-017-00271-z
COC1=CC=C(N(C2=CC(/C3=C\C4=CC(C)=C(N(C5=CC=CC=C5)C6=CC=CC=C6)C=C4)=C(C7=C3C=C(N(C8=CC=C(OC)C=C8)C9=CC=C(OC)C=C9)C=C7)C=C2)C%10=CC=C(OC)C=C%10)C=C1,-5.05,-0.05,17.53,1.15,0.74,15.09,21.61,1.09,0.75,17.88,10.1038/s41598-017-00271-z
COC1=CC=C(N(C2=CC(/C3=C/C4=C(C)C=C(N(C5=CC=CC=C5)C6=CC=CC=C6)C=C4)=C(C7=C3C=C(N(C8=CC=C(OC)C=C8)C9=CC=C(OC)C=C9)C=C7)C=C2)C%10=CC=C(OC)C=C%10)C=C1,-5.14,-0.22,13.37,0.92,0.71,9.15,21.61,1.09,0.75,17.88,10.1038/s41598-017-00271-z
COC1=CC=C(N(C2=CC(/C3=C/C4=CC=C(N(C5=CC=C(C)C=C5)C6=CC=C(C)C=C6)C=C4)=C(C7=C3C=C(N(C8=CC=C(OC)C=C8)C9=CC=C(OC)C=C9)C=C7)C=C2)C%10=CC=C(OC)C=C%10)C=C1,-5.05,-0.02,21.27,1.05,0.75,16.79,21.61,1.09,0.75,17.88,10.1038/s41598-017-00271-z
COC1=CC=C(N(C2=CC(/C3=C/C4=CC=C(N(C5=CC=C(CCCC)C=C5)C6=CC=C(CCCC)C=C6)C=C4)=C(C7=C3C=C(N(C8=CC=C(OC)C=C8)C9=CC=C(OC)C=C9)C=C7)C=C2)C%10=CC=C(OC)C=C%10)C=C1,-5.08,-0.08,21.14,1.03,0.76,16.45,21.61,1.09,0.75,17.88,10.1038/s41598-017-00271-z
COC1=CC=C(N(C2=CC(C34CC(C5)(C4)CC65C7=C(C8=C6C=C(N(C9=CC=C(OC)C=C9)C%10=CC=C(OC)C=C%10)C=C8)C=CC(N(C%11=CC=C(OC)C=C%11)C%12=CC=C(OC)C=C%12)=C7)=C(C%13=C3C=C(N(C%14=CC=C(OC)C=C%14)C%15=CC=C(OC)C=C%15)C=C%13)C=C2)C%16=CC=C(OC)C=C%16)C=C1,-5.28,-2.37,19.02,1.01,0.25,4.83,17.31,1,0.25,4.27,10.1039/C7RA06643K
COC1=CC=C(N2C3=CC(C4=CC=C(N(C5=CC=C(OC)C=C5)C6=CC=C(OC)C=C6)C=C4)=CC=C3C7=C2C=CC(N(C8=CC=C(OC)C=C8)C9=CC%10=C(N(C%11=CC(C%12=CC=C(N(C%13=CC=C(OC)C=C%13)C%14=CC=C(OC)C=C%14)C=C%12)=CC=C%11%10)C%15=CC=C(OC)C=C%15)C=C9)=C7)C=C1,-5.02,-1.65,22.98,1.12,0.72,18.57,23.03,1.11,0.72,18.32,10.1016/j.jpowsour.2019.226817
COC1=CC=C(N2C3=CC(C4=CC=C(N(C5=CC=C(OC)C=C5)C6=CC=C(OC)C=C6)C=C4)=CC=C3C7=C2C=CC(N(C8=CC=C(OC)C=C8)C9=CC=C(OC)C=C9)=C7)C=C1,-5.08,-1.67,20.9,1.07,0.55,12.25,23.03,1.11,0.72,18.32,10.1016/j.jpowsour.2019.226817
COC1=CC=C(N(C2=CC=C(C3=CC=C(N(C4=CC=C(OC)C=C4)C5=CC=C(OC)C=C5)C=C3)C=C2)C6=CC=C(C7=CC=C(N(C8=CC=C(OC)C=C8)C9=CC=C(OC)C=C9)C=C7)C=C6)C=C1,-5.17,-1.94,21.06,1.04,0.6,12.29,23.03,1.11,0.72,18.32,10.1016/j.jpowsour.2019.226817
COC1=CC=C(N(C2=CC=C(C3=CC=C(C4=CC=C(N(C5=CC=C(OC)C=C5)C6=CC=C(OC)C=C6)C=C4)C=C3)C=C2)C7=CC=C(OC)C=C7)C=C1,-5.21,-2.15,17.29,0.85,0.5,7.54,22.75,1.06,0.74,17.4,10.1039/C7RA08052B
COC1=CC=C(N(C2=CC=C(C3=CC=C(C4=CC=C(N(C5=CC=C(OC)C=C5)C6=CC=C(OC)C=C6)C=C4)S3)C=C2)C7=CC=C(OC)C=C7)C=C1,-5.13,-2.38,21.88,1.09,0.63,14.63,22.75,1.06,0.74,17.4,10.1039/C7RA08052B
CC1=CC=C(N(C(C2=CC=C3)=CC4=C5C2=C3C6=CC=CC7=C6C5=C(N4CC(CC)CCCCCC)C=C7N(C8=CC=C(C)C=C8)C9=CC=C(C)C=C9)C%10=CC=C(C)C=C%10)C=C1,-,-,7.77,0.82,0.54,1.9,20.93,1.14,0.77,18.6,10.1002/cssc.201702379
CC1=CC=C(N(C(C2=CC=C3)=CC4=C5C2=C3C6=CC=CC7=C6C5=C(N4C8=CC=C(OC)C=C8)C=C7N(C9=CC=C(C)C=C9)C%10=CC=C(C)C=C%10)C%11=CC=C(C)C=C%11)C=C1,-,-,20.74,1.14,0.71,16.9,20.93,1.14,0.77,18.6,10.1002/cssc.201702379
COC1=CC=C(N(C2=CC3=C(N(C4=C5C=C(N(C6=CC=C(OC)C=C6)C7=CC=C(OC)C=C7)C=C4C(C8=CC=C(C)C=C8)3C9=CC=C(C)C=C9)C%10=C%11C=C(N(C%12=CC=C(OC)C=C%12)C%13=CC=C(OC)C=C%13)C=C%10C5(C%14=CC=C(C)C=C%14)C%15=CC=C(C)C=C%15)C(C%11(C%16=CC=C(C)C=C%16)C%17=CC=C(C)C=C%17)=C2)C%18=CC=C(OC)C=C%18)C=C1,-5.28,-2.54,23.1,1.01,0.7,16.4,23.3,0.9,0.7,14.8,10.1039/C7SC03543H
COC1=CC=C(N(C2=CC=C(N(C3=CC=C(N(C4=CC=C(OC)C=C4)C5=CC=C(OC)C=C5)C=C3)C6=CC=C(N(C7=CC=C(OC)C=C7)C8=CC=C(OC)C=C8)C=C6)C=C2)C9=CC=C(OC)C=C9)C=C1,-5.2,-2.49,20.1,0.78,0.69,10.8,23.3,0.9,0.7,14.8,10.1039/C7SC03543H
COC1=CC=C(N(C2=CC3=C(N(CC4=CC(CN(C5=CC=C(N(C6=CC=C(OC)C=C6)C7=CC=C(OC)C=C7)C=C58)C9=C8C=C(N(C%10=CC=C(OC)C=C%10)C%11=CC=C(OC)C=C%11)C=C9)=CC(CN(C%12=CC=C(N(C%13=CC=C(OC)C=C%13)C%14=CC=C(OC)C=C%14)C=C%12%15)C%16=C%15C=C(N(C%17=CC=C(OC)C=C%17)C%18=CC=C(OC)C=C%18)C=C%16)=C4)C%19=CC=C(N(C%20=CC=C(OC)C=C%20)C%21=CC=C(OC)C=C%21)C=C%193)C=C2)C%22=CC=C(OC)C=C%22)C=C1,-5.28,-2.39,19.76,1.01,0.65,13.1,23.3,0.9,0.7,14.8,10.1016/j.dyepig.2017.07.037
COC1=CC=C(N(C2=CC3=C(N(CC4=CC=C(CN(C5=CC=C(N(C6=CC=C(OC)C=C6)C7=CC=C(OC)C=C7)C=C58)C9=C8C=C(N(C%10=CC=C(OC)C=C%10)C%11=CC=C(OC)C=C%11)C=C9)C=C4)C%12=CC=C(N(C%13=CC=C(OC)C=C%13)C%14=CC=C(OC)C=C%14)C=C%123)C=C2)C%15=CC=C(OC)C=C%15)C=C1,-5.33,-2.4,19.38,0.99,0.59,11.4,23.3,0.9,0.7,14.8,10.1016/j.dyepig.2017.07.037
COC1=CC=C(N(C2=CC=C(C3=CC(SC4=C5C=CC(C6=CC=C(N(C7=CC=C(OC)C=C7)C8=CC=C(OC)C=C8)C=C6)=C4)=C(N5C9=CC=C(CCCCCCCC)C=C9)C=C3)C=C2)C%10=CC=C(OC)C=C%10)C=C1,-5.21,-2.51,21.5,0.98,0.38,7.39,22.5,1.03,0.74,17.1,10.1039/C7RA10677G
CC1=CC=C(N(C2=CC=C(C3=CC(N4CCC)=C(C5=C4CC(C6=CC=C(N(C7=CC=C(C)C=C7)C8=CC=C(C)C=C8)C=C6)=S5)S3)C=C2)C9=CC=C(C)C=C9)C=C1,-4.57,-4.59,22.4,1.1,0.71,17.4,22.85,1.12,0.75,19.1,10.1021.acsphotonics.8b01336
CC1=CC=C(N(C2=CC=C(C3=CC(N4C5=CC=C(OC)C=C5)=C(C6=C4CC(C7=CC=C(N(C8=CC=C(C)C=C8)C9=CC=C(C)C=C9)C=C7)=S6)S3)C=C2)C%10=CC=C(C)C=C%10)C=C1,-1.45,-1.43,22.94,1.14,0.75,19.4,22.85,1.12,0.75,19.1,10.1021.acsphotonics.8b01336
COC(C=C1)=CC=C1N2C(C=C(C=C3)C4=CC=C(N(C5=CC=C(OC)C=C5)C6=CC=C(OC)C=C6)C=C4)=C3OC(C=C7)=C2C=C7C8=CC=C(N(C9=CC=C(OC)C=C9)C%10=CC=C(OC)C=C%10)C=C8,-5.2,-2.39,22.1,1.06,0.73,17,23.9,1.14,0.72,19.7,10.1021.acsami.8b12678
COC1=CC=C(N(C2=CC=C(C(C=C3)=CC(N4C5=CC=C(N(C6=CC=C(OC)C=C6)C7=CC=C(OC)C=C7)C=C5)=C3OC(C=C8)=C4C=C8C9=CC=C(N(C%10=CC=C(OC)C=C%10)C%11=CC=C(OC)C=C%11)C=C9)C=C2)C%12=CC=C(OC)C=C%12)C=C1,-5.18,-2.28,23.1,1.1,0.76,19.4,23.9,1.14,0.72,19.7,10.1021.acsami.8b12678
COC1=CC=C(N(/N=C/C2=C(OCCO3)C3=C(/C=N/N(C4=CC=C(OC)C=C4)C5=CC=C(OC)C=C5)S2)C6=CC=C(OC)C=C6)C=C1,-5.08,-2.7,20,1.03,0.74,14.9,19.8,1.09,0.7,15,10.1039.C8ME00023A
COC1=CC(C2=CC=C(N(C3=CC=C(/C(C4=CC=C(N(C5=CC=C(C6=CC=C(OC)C(OC)=C6)C=C5)C7=CC=C(C8=CC(OC)=C(OC)C=C8)C=C7)C=C4)=C(C9=CC=C(N(C%10=CC=C(C%11=CC=C(OC)C(OC)=C%11)C=C%10)C%12=CC=C(C%13=CC(OC)=C(OC)C=C%13)C=C%12)C=C9)\C%14=CC=C(N(C%15=CC=C(C%16=CC(OC)=C(OC)C=C%16)C=C%15)C%17=CC=C(C%18=CC=C(OC)C(OC)=C%18)C=C%17)C=C%14)C=C3)C%19=CC=C(C%20=CC(OC)=C(OC)C=C%20)C=C%19)C=C2)=CC=C1OC,-5.27,-2.54,20.09,1.02,0.68,13.84,20.63,1.05,0.75,16.24,10.1016.j.synthmet.2018.07.017
COC1=CC(C2=CC=C(N(C3=CC=C(C4=C5C=C(N(C6=CC=C(C7=CC=C(OC)C(OC)=C7)C=C6)C8=CC=C(C9=CC(OC)=C(OC)C=C9)C=C8)C=C4)C(/C5=C%10C%11=C(C%12=CC=C(N(C%13=CC=C(C%14=CC=C(OC)C(OC)=C%14)C=C%13)C%15=CC=C(C%16=CC(OC)=C(OC)C=C%16)C=C%15)C=C%12\%10)C=CC(N(C%17=CC=C(C%18=CC(OC)=C(OC)C=C%18)C=C%17)C%19=CC=C(C%20=CC=C(OC)C(OC)=C%20)C=C%19)=C%11)=C3)C%21=CC=C(C%22=CC(OC)=C(OC)C=C%22)C=C%21)C=C2)=CC=C1OC,-5.38,-2.41,20.37,1.02,0.73,15.07,20.63,1.05,0.75,16.24,10.1016.j.synthmet.2018.07.017
COC(C=C1)=CC=C1N(C2=CC=C(OC)C=C2)C(C=C3)=CC4=C3N(C5=C4C=C(N(C6=CC=C(OC)C=C6)C7=CC=C(OC)C=C7)C=C5)C8=CC=C(C9=C(OC)C=C(C%10(C%11=CC(OC)=C(C%12=CC=C(N%13C(C=CC(N(C%14=CC=C(OC)C=C%14)C%15=CC=C(OC)C=C%15)=C%16)=C%16C%17=C%13C=CC(N(C%18=CC=C(OC)C=C%18)C%19=CC=C(OC)C=C%19)=C%17)C=C%12)C=C%11C(C)(C)C%10)CC%20(C)C)C%20=C9)C=C8,-5.2,-,24.67,1.06,0.71,18.57,-,-,-,-,10.1002.ange.201807402
COC(C=C1)=CC=C1N(C2=CC=C(OC)C=C2)C(C=C3)=CC4=C3N(C5=C4C=C(N(C6=CC=C(OC)C=C6)C7=CC=C(OC)C=C7)C=C5)CC8=CC=CC=C8,-4.67,-1.9,14.75,0.94,0.94,11.51,22.15,1.01,0.78,17.68,10.1016.j.orgel.2018.05.024
COC(C=C1)=CC=C1N(C2=CC=C(OC)C=C2)C(C=C3)=CC4=C3N(C5=C4C=C(N(C6=CC=C(OC)C=C6)C7=CC=C(OC)C=C7)C=C5)CC8=CC(CN9C(C=CC(N(C%10=CC=C(OC)C=C%10)C%11=CC=C(OC)C=C%11)=C%12)=C%12C%13=C9C=CC(N(C%14=CC=C(OC)C=C%14)C%15=CC=C(OC)C=C%15)=C%13)=CC(CN%16C(C=CC(N(C%17=CC=C(OC)C=C%17)C%18=CC=C(OC)C=C%18)=C%19)=C%19C%20=C%16C=CC(N(C%21=CC=C(OC)C=C%21)C%22=CC=C(OC)C=C%22)=C%20)=C8,-4.53,-2.03,20.11,0.98,0.73,14.59,22.15,1.01,0.78,17.68,10.1016.j.orgel.2018.05.024
COC(C=C1)=CC=C1N(C2=CC=C(OC)C=C2)C(C=C3)=CC4=C3C5(C(C=CC=C6)=C6C7=C5C=C8C(C9(C(C=CC(N(C%10=CC=C(OC)C=C%10)C%11=CC=C(OC)C=C%11)=C%12)=C%12C%13=C9C=CC(N(C%14=CC=C(OC)C=C%14)C%15=CC=C(OC)C=C%15)=C%13)C%16=C8C=CC=C%16)=C7)C%17=C4C=C(N(C%18=CC=C(OC)C=C%18)C%19=CC=C(OC)C=C%19)C=C%17,-5.14,-2.22,22.01,1.08,0.65,15.5,23.12,1.11,0.75,19.25,10.1002.aenm.201800809
COC(C=C1)=CC=C1N(C2=CC=C(OC)C=C2)C3=CC(C4=C5C=CC(N(C6=CC=C(OC)C=C6)C7=CC=C(OC)C=C7)=C4)=C(C58C(C9C%10C%11(C(C=CC(N(C%12=CC=C(OC)C=C%12)C%13=CC=C(OC)C=C%13)=C%14)=C%14C%15=C%11C=CC(N(C%16=CC=C(OC)C=C%16)C%17=CC=C(OC)C=C%17)=C%15)C%18=C9C=CC=C%18)=C(S%10)C%19=C8C=CC=C%19)C=C3,-5.22,-2.27,23.52,1.13,0.76,20.2,23.12,1.11,0.75,19.25,10.1002.aenm.201800809
CC(C)(C)C(C=C1C(C2=CC=C(OCC(CCCC)CC)C=C2)(O)C3=CC=C(OCC(CCCC)CC)C=C3)=CC=C1N(C4=C(C(C5=CC=C(OCC(CCCC)CC)C=C5)(O)C6=CC=C(OCC(CCCC)CC)C=C6)C=CC=C4)C7=C(C(C8=CC=C(OCC(CCCC)CC)C=C8)(O)C9=CC=C(OCC(CCCC)CC)C=C9)C=C(C(C)(C)C)C=C7,-5.3,-2.5,18.37,1.01,0.61,11.45,16.32,0.89,0.5,7.28,10.1002.chem.201706104
CC(C)(C)C1=CC2=C(N(C3=C4C=CC=C3C(C5=CC=C(OCC(CCCC)CC)C=C5)2C6=CC=C(OCC(CCCC)CC)C=C6)C7=C8C=C(C(C)(C)C)C=C7C4(C9=CC=C(OCC(CCCC)CC)C=C9)C%10=CC=C(OCC(CCCC)CC)C=C%10)C(C(C%11=CC=C(OCC(CCCC)CC)C=C%11)8C%12=CC=C(OCC(CCCC)CC)C=C%12)=C1,-5.2,-2.6,17.1,0.95,0.57,9.35,16.32,0.89,0.5,7.28,10.1002.chem.201706104
COC(C=C1)=CC=C1/C(C2=CC=C(OC)C=C2)=C/N(C3=CC=C(/C=C(C4=CC=C(OC)C=C4)/C5=CC=C(OC)C=C5)C=C3)/C=C(C6=CC=C(OC)C=C6)/C7=CC=C(OC)C=C7,-,-,22.5,1.11,0.81,20.2,22.6,1.12,0.8,20.2,10.1002.adma.201803735
COC(C=C1)=CC=C1/C(C2=CC=C(OC)C=C2)=C/N(C3=CC=C(OC)C=C3)/C=C(C4=CC=C(OC)C=C4)/C5=CC=C(OC)C=C5,-,-,22.1,1.07,0.79,18.7,22.6,1.12,0.8,20.2,10.1002.adma.201803735
COC(C=C1)=CC=C1/C(C2=CC=C(OC)C=C2)=C/N(C3=CC(C)=C(/C=C(C4=CC=C(OC)C=C4)/C5=CC=C(OC)C=C5)C(C)=C3)/C=C(C6=CC=C(OC)C=C6)/C7=CC=C(OC)C=C7,-,-,22.7,1.13,0.68,17.6,22.6,1.12,0.8,20.2,10.1002.adma.201803735
COC(C=C1)=CC=C1N(C2=CC=C(OC)C=C2)C3=C(OCCO4)C4=C(C5=CC=C(C67C8=CC(C(S9)=C%10C(OCCO%10)=C9N(C%11=CC=C(OC)C=C%11)C%12=CC=C(OC)C=C%12)=CC=C8C6%13C(C7=C%14)=CC=C%14C(S%15)=C%16C(OCCO%16)=C%15N(C%17=CC=C(OC)C=C%17)C%18=CC=C(OC)C=C%18)C%13=C5)S3,-5.08,-,21.96,1.07,0.81,18.6,21.9,1.12,0.79,19.5,10.1002.solr.201700175
COC(C=C1)=CC=C1N(C2=CC=C(OC)C=C2)C(C=C3)=CC=C3C4=CC5=C(S4)C(C6=C7C8=C(C=C(C9=CC=C(N(C%10=CC=C(OC)C=C%10)C%11=CC=C(OC)C=C%11)C=C9)S8)C%12=C6SC(C%13=CC=C(N(C%14=CC=C(OC)C=C%14)C%15=CC=C(OC)C=C%15)C=C%13)=C%12)=C(S7)C%16=C5C=C(C%17=CC=C(N(C%18=CC=C(OC)C=C%18)C%19=CC=C(OC)C=C%19)C=C%17)S%16,-5.32,-,22.23,1.09,0.74,18.08,22.6,1.08,0.73,17.96,10.1021.acs.chemmater.8b04003
COC(C=C1)=CC=C1N(C2=CC=C(OC)C=C2)C(C=C3)=CC=C3C4=CC5=C(S4)C(C(S6)=C(C7=C6C(SC(C8=CC=C(N(C9=CC=C(OC)C=C9)C%10=CC=C(OC)C=C%10)C=C8)=C%11)=C%11C%12=C7SC(C%13=CC=C(N(C%14=CC=C(OC)C=C%14)C%15=CC=C(OC)C=C%15)C=C%13)=C%12)S%16)=C%16C%17=C5C=C(C%18=CC=C(N(C%19=CC=C(OC)C=C%19)C%20=CC=C(OC)C=C%20)C=C%18)S%17,-5.37,-,19.51,1.03,0.67,13.37,22.6,1.08,0.73,17.96,10.1021.acs.chemmater.8b04003
COC(C=C1)=CC=C1N(C2=CC=C(OC)C=C2)C(C=C3)=CC=C3C4=C(C5=CC=C(N(C6=CC=C(OC)C=C6)C7=CC=C(OC)C=C7)C=C5)C8=C(C=C9C(SC(C%10=CC=C(N(C%11=CC=C(OC)C=C%11)C%12=CC=C(OC)C=C%12)C=C%10)=C9C%13=CC=C(N(C%14=CC=C(OC)C=C%14)C%15=CC=C(OC)C=C%15)C=C%13)=C8)S4,-5.36,-2.63,23,1.07,0.74,18.1,22.3,1.1,0.73,17.7,10.1039.C7TA11314E
COC(C=C1)=CC=C1N(C2=CC=C(OC)C=C2)C(C=C3)=CC=C3C4=C(C5=CC=C(N(C6=CC=C(OC)C=C6)C7=CC=C(OC)C=C7)C=C5)C(C8=C(N9C%10=CC=C(OC)C=C%10)SC(C%11=CC=C(N(C%12=CC=C(OC)C=C%12)C%13=CC=C(OC)C=C%13)C=C%11)=C8C%14=CC=C(N(C%15=CC=C(OC)C=C%15)C%16=CC=C(OC)C=C%16)C=C%14)=C9S4,-4.98,-2.22,22.2,1.07,0.66,15.6,22.3,1.1,0.73,17.7,10.1039.C7TA11314E
COC(C=C1)=CC=C1N(C2=CC=C(OC)C=C2)C(C=C3)=CC=C3C4=CC5=C(C6=C(N5C7=CC=C(OC)C=C7)C=C(C8=CC=C(N(C9=CC=C(OC)C=C9)C%10=CC=C(OC)C=C%10)C=C8)S6)S4,-4.97,-2.32,23.28,1.11,0.7,18.16,22.92,1.12,0.71,18.27,10.1039.C8TA01773E
COC(C=C1)=CC=C1N(C2=CC=C(OC)C=C2)C(C=C3)=CC=C3C4=CC5=C(C6=C(N5C7=CC=C(N(C8=CC=C(OC)C=C8)C9=CC=C(OC)C=C9)C=C7)C=C(C%10=CC=C(N(C%11=CC=C(OC)C=C%11)C%12=CC=C(OC)C=C%12)C=C%10)S6)S4,-4.96,-2.31,22.38,1.09,0.63,15.29,22.93,1.12,0.71,18.28,10.1039.C8TA01773E
