SMILES,HOMO,LUMO,J,V,FF,PCE,refJ,refV,refFF,refPCE,doi
COC1=CC=C(N(C2=CC3=C(N(C4=CC(N(C5=C6C=C(N(C7=CC=C(OC)C=C7)C8=CC=C(OC)C=C8)C=C5)C9=C6C=C(N(C%10=CC=C(OC)C=C%10)C%11=CC=C(OC)C=C%11)C=C9)=C%12C=CC%13=C(N(C%14=C%15C=C(N(C%16=CC=C(OC)C=C%16)C%17=CC=C(OC)C=C%17)C=C%14)C%18=C%15C=C(N(C%19=CC=C(OC)C=C%19)C%20=CC=C(OC)C=C%20)C=C%18)C=C(N(C%21=C%22C=C(N(C%23=CC=C(OC)C=C%23)C%24=CC=C(OC)C=C%24)C=C%21)C%25=C%22C=C(N(C%26=CC=C(OC)C=C%26)C%27=CC=C(OC)C=C%27)C=C%25)C%28=CC=C4C%12=C%13%28)C%29=C3C=C(N(C%30=CC=C(OC)C=C%30)C%31=CC=C(OC)C=C%31)C=C%29)C=C2)C%32=CC=C(OC)C=C%32)C=C1,-4.93,-3.05,22.68,0.97,0.79,17.19,23.11,1.09,0.78,19.59,10.1039.C7CC08985F
COC1=CC=C(N(C2=CC3=C(N(C4=CC=C5C=CC6=C(N(C7=C8C=C(N(C9=CC=C(OC)C=C9)C%10=CC=C(OC)C=C%10)C=C7)C%11=C8C=C(N(C%12=CC=C(OC)C=C%12)C%13=CC=C(OC)C=C%13)C=C%11)C=CC%14=CC=C4C5=C6%14)C%15=C3C=C(N(C%16=CC=C(OC)C=C%16)C%17=CC=C(OC)C=C%17)C=C%15)C=C2)C%18=CC=C(OC)C=C%18)C=C1,-4.88,-2.62,23.24,1.04,0.76,18.23,23.11,1.09,0.78,19.59,10.1039.C7CC08985F
COC1=CC=C(N(C2=CC3=C(N(CC4=CC5=C(C(CN(C6=C7C=C(N(C8=CC=C(OC)C=C8)C9=CC=C(OC)C=C9)C=C6)C%10=C7C=C(N(C%11=CC=C(OC)C=C%11)C%12=CC=C(OC)C=C%12)C=C%10)=C4)C(C=CC(CN(C%13=C%14C=C(N(C%15=CC=C(OC)C=C%15)C%16=CC=C(OC)C=C%16)C=C%13)C%17=C%14C=C(N(C%18=CC=C(OC)C=C%18)C%19=CC=C(OC)C=C%19)C=C%17)=C%20)=C%20C5(C)C)C%21=C3C=C(N(C%22=CC=C(OC)C=C%22)C%23=CC=C(OC)C=C%23)C=C%21)C=C2)C%24=CC=C(OC)C=C%24)C=C1,-,-,22,1.05,0.8,18.3,22.4,1.08,0.78,18.9,10.1002.advs.201700811
COC1=CC=C(N(C2=CC3=C(N(CC4=CC5=C(C=C4)C(C=CC(CN(C6=C7C=C(N(C8=CC=C(OC)C=C8)C9=CC=C(OC)C=C9)C=C6)C%10=C7C=C(N(C%11=CC=C(OC)C=C%11)C%12=CC=C(OC)C=C%12)C=C%10)=C%13)=C%13C5(CC)CC)C%14=C3C=C(N(C%15=CC=C(OC)C=C%15)C%16=CC=C(OC)C=C%16)C=C%14)C=C2)C%17=CC=C(OC)C=C%17)C=C1,-,-,21.6,0.96,0.8,16.7,22.4,1.08,0.78,18.9,10.1002.advs.201700811
CCCCOC1=CC=C(N(C2=CC3=C(C4(C5=CC6=C(C(C7=C8C=C(N(C9=CC=C(OCCCC)C=C9)C%10=CC=C(OCCCC)C=C%10)C=C7)(C%11=C6C=CC=C%11)C%12=C8C=C(N(C%13=CC=C(OCCCC)C=C%13)C%14=CC=C(OCCCC)C=C%14)C=C%12)C=C5C%15=C4C=CC=C%15)C%16=C3C=C(N(C%17=CC=C(OCCCC)C=C%17)C%18=CC=C(OCCCC)C=C%18)C=C%16)C=C2)C%19=CC=C(OCCCC)C=C%19)C=C1,-5.16,-2.23,22.79,1.08,0.75,18.46,22.42,1.08,0.75,17.89,10.1002.solr.201800048
COC1=CC=C(N(C2=CC3=C(N(CC(CC)CCCC)C4=C3C=C(N(C5=CC=C(OC)C=C5)C6=CC=C(OC)C=C6)C=C4)C=C2)C7=CC=C(OC)C=C7)C=C1,-,-,21.71,1.09,0.78,18.5,21.24,1.12,0.75,17.58,10.1038.s41560-017-0067-y
COC1=CC=C(N(C2=CC=C(C3=CC=C(C4=C(C(S5)=CC=C5C6=CC=C(N(C7=CC=C(OC)C=C7)C8=CC=C(OC)C=C8)C=C6)C=C(OC)C(OC)=C4)S3)C=C2)C9=CC=C(OC)C=C9)C=C1,-5.23,-1.39,16.53,1.06,0.63,11.03,22.21,1.09,0.73,18.05,10.1039.C8TA02071J
COC1=CC=C(N(C2=CC=C(C3=CC(C4=C5SC(C6=CC=C(N(C7=CC=C(OC)C=C7)C8=CC=C(OC)C=C8)C=C6)=C4)=C(C9=C5C=C(OC)C(OC)=C9)S3)C=C2)C%10=CC=C(OC)C=C%10)C=C1,-5.32,-1.42,23.47,1.11,0.7,18.78,22.21,1.09,0.73,18.05,10.1039.C8TA02071J
COC1=CC=C(N(C2=CC=C(C3=CC4=C(N3C5=CC=CC=C5)C6=C(N(C7=CC=CC=C7)C(C8=CC=C(N(C9=CC=C(OC)C=C9)C%10=CC=C(OC)C=C%10)C=C8)=C6)C%11=C4N(C%12=CC=CC=C%12)C(C%13=CC=C(N(C%14=CC=C(OC)C=C%14)C%15=CC=C(OC)C=C%15)C=C%13)=C%11)C=C2)C%16=CC=C(OC)C=C%16)C=C1,-5.05,-1.94,20.34,1.07,0.71,15.5,23.23,1.04,0.74,18,10.1002.adfm.201801734
COC1=CC=C(N(C2=CC=C(C3=CC4=C(O3)C5=C(OC(C6=CC=C(N(C7=CC=C(OC)C=C7)C8=CC=C(OC)C=C8)C=C6)=C5)C9=C4OC(C%10=CC=C(N(C%11=CC=C(OC)C=C%11)C%12=CC=C(OC)C=C%12)C=C%10)=C9)C=C2)C%13=CC=C(OC)C=C%13)C=C1,-5.38,-2.36,21.31,1.11,0.77,18.2,23.23,1.04,0.74,18,10.1002.adfm.201801734
COC1=CC=C(N(C2=CC=C(C3=CC4=C([Se]3)C5=C([Se]C(C6=CC=C(N(C7=CC=C(OC)C=C7)C8=CC=C(OC)C=C8)C=C6)=C5)C9=C4[Se]C(C%10=CC=C(N(C%11=CC=C(OC)C=C%11)C%12=CC=C(OC)C=C%12)C=C%10)=C9)C=C2)C%13=CC=C(OC)C=C%13)C=C1,-5.37,-2.54,21.88,1.07,0.8,18.5,23.23,1.04,0.74,18,10.1002.adfm.201801734
COC1=CC=C(N(C2=CC=C(C3=CC4=C(S3)C5=C(SC(C6=CC=C(N(C7=CC=C(OC)C=C7)C8=CC=C(OC)C=C8)C=C6)=C5)C9=C4SC(C%10=CC=C(N(C%11=CC=C(OC)C=C%11)C%12=CC=C(OC)C=C%12)C=C%10)=C9)C=C2)C%13=CC=C(OC)C=C%13)C=C1,-5.37,-2.48,22.02,1.08,0.74,18,23.23,1.04,0.74,18,10.1002.adfm.201801734
COC1=CC=C(N(C2=CC(C3=C4C=CC(N(C5=CC=C(OC)C=C5)C6=CC=C(OC)C=C6)=C3)=C(N4CC(C=CC=C7)=C7CN(C8=C9C=C(N(C%10=CC=C(OC)C=C%10)C%11=CC=C(OC)C=C%11)C=C8)C%12=C9C=C(N(C%13=CC=C(OC)C=C%13)C%14=CC=C(OC)C=C%14)C=C%12)C=C2)C%15=CC=C(OC)C=C%15)C=C1,,,22.09,1.11,0.76,18.45,22.25,1.11,0.77,18.79,10.1002.adfm.201704351
COC1=CC=C(N(C2=CC(C3=C4C=CC(N(C5=CC=C(OC)C=C5)C6=CC=C(OC)C=C6)=C3)=C(N4CC7=CC=CC(CN(C8=C9C=C(N(C%10=CC=C(OC)C=C%10)C%11=CC=C(OC)C=C%11)C=C8)C%12=C9C=C(N(C%13=CC=C(OC)C=C%13)C%14=CC=C(OC)C=C%14)C=C%12)=C7)C=C2)C%15=CC=C(OC)C=C%15)C=C1,,,22.43,1.1,0.76,18.92,22.25,1.11,0.77,18.79,10.1002.adfm.201704351
COC1=CC=C(N(C2=CC(C3=C4C=CC(N(C5=CC=C(OC)C=C5)C6=CC=C(OC)C=C6)=C3)=C(N4CC7=CC=C(CN(C8=C9C=C(N(C%10=CC=C(OC)C=C%10)C%11=CC=C(OC)C=C%11)C=C8)C%12=C9C=C(N(C%13=CC=C(OC)C=C%13)C%14=CC=C(OC)C=C%14)C=C%12)C=C7)C=C2)C%15=CC=C(OC)C=C%15)C=C1,,,22.4,1.1,0.74,18.86,22.25,1.11,0.77,18.79,10.1002.adfm.201704351
CC1=CC=C(N(C2=CC(C3=C4C=CC(N(C5=CC=C(C)C=C5)C6=CC=C(C)C=C6)=C3)=C(N4CC(C=CC=C7)=C7CN(C8=C9C=C(N(C%10=CC=C(C)C=C%10)C%11=CC=C(C)C=C%11)C=C8)C%12=C9C=C(N(C%13=CC=C(C)C=C%13)C%14=CC=C(C)C=C%14)C=C%12)C=C2)C%15=CC=C(C)C=C%15)C=C1,,,21.02,1.08,0.72,16.3,22.25,1.11,0.77,18.79,10.1002.adfm.201704351
CC1=CC=C(N(C2=CC(C3=C4C=CC(N(C5=CC=C(C)C=C5)C6=CC=C(C)C=C6)=C3)=C(N4CC7=CC=CC(CN(C8=C9C=C(N(C%10=CC=C(C)C=C%10)C%11=CC=C(C)C=C%11)C=C8)C%12=C9C=C(N(C%13=CC=C(C)C=C%13)C%14=CC=C(C)C=C%14)C=C%12)=C7)C=C2)C%15=CC=C(C)C=C%15)C=C1,,,21.83,1.04,0.73,16.54,22.25,1.11,0.77,18.79,10.1002.adfm.201704351
CC1=CC=C(N(C2=CC(C3=C4C=CC(N(C5=CC=C(C)C=C5)C6=CC=C(C)C=C6)=C3)=C(N4CC7=CC=C(CN(C8=C9C=C(N(C%10=CC=C(C)C=C%10)C%11=CC=C(C)C=C%11)C=C8)C%12=C9C=C(N(C%13=CC=C(C)C=C%13)C%14=CC=C(C)C=C%14)C=C%12)C=C7)C=C2)C%15=CC=C(C)C=C%15)C=C1,,,21.31,1.04,0.74,16.35,22.25,1.11,0.77,18.79,10.1002.adfm.201704351
CCN(C1=C2C=C(N(C3=CC=C(OC)C=C3)C4=CC=C(OC)C=C4)C=C1)C5=C2C=C(N(C6=CC=C(OC)C=C6)C7=CC=C(OC)C=C7)C=C5,,,12.58,0.95,0.42,5.02,22.25,1.11,0.77,18.79,10.1002.adfm.201704351
COC1=CC=C(N(C2=CC(C3=C(N4CC5=CC(CN(C6=C7C=C(N(C8=CC=C(OC)C=C8)C9=CC=C(OC)C=C9)C=C6)C%10=C7C=C(N(C%11=CC=C(OC)C=C%11)C%12=CC=C(OC)C=C%12)C=C%10)=CC(CN(C%13=C%14C=C(N(C%15=CC=C(OC)C=C%15)C%16=CC=C(OC)C=C%16)C=C%13)C%17=C%14C=C(N(C%18=CC=C(OC)C=C%18)C%19=CC=C(OC)C=C%19)C=C%17)=C5)C=CC(N(C%20=CC=C(OC)C=C%20)C%21=CC=C(OC)C=C%21)=C3)=C4C=C2)C%22=CC=C(OC)C=C%22)C=C1,,,22.1,1.05,0.72,16.84,22.25,1.11,0.77,18.79,10.1002.adfm.201704351
COC1=CC=C(N(C2=CC(C3=C(N4CC5=C(CN(C6=C7C=C(N(C8=CC=C(OC)C=C8)C9=CC=C(OC)C=C9)C=C6)C%10=C7C=C(N(C%11=CC=C(OC)C=C%11)C%12=CC=C(OC)C=C%12)C=C%10)C=C(CN(C%13=C%14C=C(N(C%15=CC=C(OC)C=C%15)C%16=CC=C(OC)C=C%16)C=C%13)C%17=C%14C=C(N(C%18=CC=C(OC)C=C%18)C%19=CC=C(OC)C=C%19)C=C%17)C(CN(C%20=C%21C=C(N(C%22=CC=C(OC)C=C%22)C%23=CC=C(OC)C=C%23)C=C%20)C%24=C%21C=C(N(C%25=CC=C(OC)C=C%25)C%26=CC=C(OC)C=C%26)C=C%24)=C5)C=CC(N(C%27=CC=C(OC)C=C%27)C%28=CC=C(OC)C=C%28)=C3)=C4C=C2)C%29=CC=C(OC)C=C%29)C=C1,,,22.12,1.04,0.73,16.78,22.25,1.11,0.77,18.79,10.1002.adfm.201704351
COC1=CC=C(N(C2=CC(C3=C(N4CC5=CC=CC=C5CN(C6=C7C=C(N(C8=CC=C(OC)C=C8)C9=CC=C(OC)C=C9)C=C6)C%10=C7C=C(N(C%11=CC=C(OC)C=C%11)C%12=CC=C(OC)C=C%12)C=C%10)C=CC(N(C%13=CC=C(OC)C=C%13)C%14=CC=C(OC)C=C%14)=C3)=C4C=C2)C%15=CC=C(OC)C=C%15)C=C1,,,22.86,1.07,0.73,17.02,22.25,1.11,0.77,18.79,10.1002.adfm.201704351
COC1=CC=C(N(C2=CC=C(C3=CC(C(S4)=CC=C4N(C5=CC=C(OC)C=C5)C6=CC=C(OC)C=C6)=C(C(S7)=CC=C7N(C8=CC=C(OC)C=C8)C9=CC=C(OC)C=C9)(C)C(C(S%10)=CC=C%10N(C%11=CC=C(OC)C=C%11)C%12=CC=C(OC)C=C%12)=C3)S2)C%13=CC=C(OC)C=C%13)C=C1,-5.48,-2.89,4.11,0.84,0.62,2.13,22.59,1.1,0.76,18.77,10.1002.aenm.201800681
COC1=CC=C(N(C(C=C2)=CC=C2C3=CC=C(C4=C(C5=CC=C(C6=CC=C(N(C7=CC=C(OC)C=C7)C8=CC=C(OC)C=C8)C=C6)S5)C=C(C9=CC=C(C%10=CC=C(N(C%11=CC=C(OC)C=C%11)C%12=CC=C(OC)C=C%12)C=C%10)S9)C(C%13=CC=C(C%14=CC=C(N(C%15=CC=C(OC)C=C%15)C%16=CC=C(OC)C=C%16)C=C%14)S%13)=C4)S3)C%17=CC=C(OC)C=C%17)C=C1,-5.32,-2.68,8.67,0.97,0.73,6.12,22.59,1.1,0.76,18.77,10.1002.aenm.201800681
COC1=CC=C(N(C2=CC=C(C3=CC=C(C(S4)=CC=C4C5=C(C6=CC=C(C7=CC=C(C8=CC=C(N(C9=CC=C(OC)C=C9)C%10=CC=C(OC)C=C%10)C=C8)S7)S6)C=C(C%11=CC=C(C%12=CC=C(C%13=CC=C(N(C%14=CC=C(OC)C=C%14)C%15=CC=C(OC)C=C%15)C=C%13)S%12)S%11)C(C%16=CC=C(C%17=CC=C(C%18=CC=C(N(C%19=CC=C(OC)C=C%19)C%20=CC=C(OC)C=C%20)C=C%18)S%17)S%16)=C5)S3)C=C2)C%21=CC=C(OC)C=C%21)C=C1,-5.2,-2.7,10.92,0.98,0.66,7.03,22.59,1.1,0.76,18.77,10.1002.aenm.201800681
COC1=CC=C(N(C(S2)=CC3=C2C4=C(C5=C3C=C(N(C6=CC=C(OC)C=C6)C7=CC=C(OC)C=C7)S5)C=C8C(C9=C(C%10=C8SC(N(C%11=CC=C(OC)C=C%11)C%12=CC=C(OC)C=C%12)=C%10)C=C(N(C%13=CC=C(OC)C=C%13)C%14=CC=C(OC)C=C%14)S9)=C4)C%15=CC=C(OC)C=C%15)C=C1,-5.27,-2.81,20.16,1.03,0.8,16.54,22.59,1.1,0.76,18.77,10.1002.aenm.201800681
COC1=CC=C(N(C2=CC=C(C(S3)=CC4=C3C5=C(C6=C4C=C(C7=CC=C(N(C8=CC=C(OC)C=C8)C9=CC=C(OC)C=C9)C=C7)S6)C=C%10C(C%11=C(C%12=C%10SC(C%13=CC=C(N(C%14=CC=C(OC)C=C%14)C%15=CC=C(OC)C=C%15)C=C%13)=C%12)C=C(C%16=CC=C(N(C%17=CC=C(OC)C=C%17)C%18=CC=C(OC)C=C%18)C=C%16)S%11)=C5)C=C2)C%19=CC=C(OC)C=C%19)C=C1,-5.23,-2.68,21.21,0.75,0.61,9.69,22.59,1.1,0.76,18.77,10.1002.aenm.201800681
COC1=CC=C(N(C2=CC=C(C3=CC=C(C(S4)=CC5=C4C6=C(C7=C5C=C(C8=CC=C(C9=CC=C(N(C%10=CC=C(OC)C=C%10)C%11=CC=C(OC)C=C%11)C=C9)S8)S7)C=C%12C(C%13=C(C%14=C%12SC(C%15=CC=C(C%16=CC=C(N(C%17=CC=C(OC)C=C%17)C%18=CC=C(OC)C=C%18)C=C%16)S%15)=C%14)C=C(C%19=CC=C(C%20=CC=C(N(C%21=CC=C(OC)C=C%21)C%22=CC=C(OC)C=C%22)C=C%20)S%19)S%13)=C6)S3)C=C2)C%23=CC=C(OC)C=C%23)C=C1,-5.2,-2.76,22.18,0.99,0.73,18.76,22.59,1.1,0.76,18.77,10.1002.aenm.201800681
CC1=CC=C(N(C2=CC=C(/C=C/C3=CC=C(N(C4=CC=C(C)C=C4)C(C=CC(/C=C/C(C=C5)=CC=C5N(C6=CC=C(C)C=C6)C7=CC=C(C)C=C7)=C8)=C8S9)C9=C3)C=C2)C%10=CC=C(C)C=C%10)C=C1,-5.39,-2.83,23.01,1.12,0.69,17.77,23.76,1.11,0.74,19.66,10.1021.acsenergylett.8b00395
CC(C=C1)=CC=C1N2C3=CC=C(/C=C/C(C=C4)=CC5=C4N(CC)C6=C5C=CC=C6)C=C3SC7=C2C=CC(/C=C/C8=CC=C9N(CC)C%10=CC=CC=C%10C9=C8)=C7,-5.44,-2.82,22.35,1.09,0.6,14.65,23.76,1.11,0.74,19.66,10.1021.acsenergylett.8b00395
CC(C=C1)=CC=C1N2C3=CC=C(/C=C/C(C=C4)=CC=C4N(C5=CC=C(OC)C=C5)C6=CC=C(OC)C=C6)C=C3SC7=C2C=CC(/C=C/C(C=C8)=CC=C8N(C9=CC=C(OC)C=C9)C%10=CC=C(OC)C=C%10)=C7,-5.27,-2.73,23.53,1.11,0.73,19.17,23.76,1.11,0.74,19.66,10.1021.acsenergylett.8b00395
COC1=CC=C(N(C2=CC=C(C3=C(C4=C56)C=CC6=C(C(C=C7)=CC=C7N(C8=CC=C(OC)C=C8)C9=CC=C(OC)C=C9)C=C(C(C=C%10)=CC=C%10N(C%11=CC=C(OC)C=C%11)C%12=CC=C(OC)C=C%12)C5=CC=C4C(C(C=C%13)=CC=C%13N(C%14=CC=C(OC)C=C%14)C%15=CC=C(OC)C=C%15)=C3)C=C2)C%16=CC=C(OC)C=C%16)C=C1,-5.4,-2.67,22.82,1.11,0.76,19.28,22.5,1.1,0.75,18.57,10.1021.acsomega.8b01817
COC1=CC=C(N(C2=CC=C(C3=CC(C4=CC(C(C=C5)=CC=C5N(C6=CC=C(OC)C=C6)C7=CC=C(OC)C=C7)=CC(C(C=C8)=CC=C8N(C9=CC=C(OC)C=C9)C%10=CC=C(OC)C=C%10)=C4)=CC(C(C=C%11)=CC=C%11N(C%12=CC=C(OC)C=C%12)C%13=CC=C(OC)C=C%13)=C3)C=C2)C%14=CC=C(OC)C=C%14)C=C1,-5.3,-2.2,21.93,0.98,0.7,15.06,22.5,1.1,0.75,18.57,10.1021.acsomega.8b01817
COC1=CC=C(N(C2=CC(C3=CC(N(C4=CC=C(OC)C=C4)C5=CC=C(OC)C=C5)=CC(C6(C7=CC(N(C8=CC=C(OC)C=C8)C9=CC=C(OC)C=C9)=CC=C7N%10C(C=C%11)=C%12C=C%11N(C%13=CC=C(OC)C=C%13)C%14=CC=C(OC)C=C%14)C%15=C%10C%12=CC(N(C%16=CC=C(OC)C=C%16)C%17=CC=C(OC)C=C%17)=C%15)=C3N%18C(C6=C%19)=CC=C%19N(C%20=CC=C(OC)C=C%20)C%21=CC=C(OC)C=C%21)=C%18C=C2)C%22=CC=C(OC)C=C%22)C=C1,-5.17,-2.45,24.4,1.11,0.74,20.1,23.39,1.1,0.74,19.11,10.1002.adfm.201807094
COC1=CC=C(N(C2=CC=C(N(C(C=C3)=C(C45C6=C(C(C5=C7)=CC=C7N(C8=CC=C(OC)C=C8)C9=CC=C(OC)C=C9)C=CC(N(C%10=CC=C(OC)C=C%10)C%11=CC=C(OC)C=C%11)=C6)C=C3N(C%12=CC=C(OC)C=C%12)C%13=CC=C(OC)C=C%13)C(C4=C%14)=CC=C%14N(C%15=CC=C(OC)C=C%15)C%16=CC=C(OC)C=C%16)C=C2)C%17=CC=C(OC)C=C%17)C=C1,-5.33,-2.22,20.41,1.07,0.63,13.93,23.39,1.1,0.74,19.11,10.1002.adfm.201807094
COC1=CC=C(N(C2=CC=C(OC)C=C2)C3=CC=C(NC(C(S4)=C5C(OCCO5)=C4C(NC6=CC=C(N(C7=CC=C(OC)C=C7)C8=CC=C(OC)C=C8)C=C6)=O)=O)C=C3)C=C1,-5.23,-2.5,22.7,1.16,0.77,20.3,22.5,1.15,0.76,19.7,10.1002.aenm.201801605
COC1=CC=C(N(C2=CC=C(OC)C=C2)C3=CC=C(C4=CC=C(C5=CC(C(S6)=CC=C6C7=CC=C(N(C8=CC=C(OC)C=C8)C9=CC=C(OC)C=C9)C=C7)=C%10C=CC%11=C(C(S%12)=CC=C%12C%13=CC=C(N(C%14=CC=C(OC)C=C%14)C%15=CC=C(OC)C=C%15)C=C%13)C=C(C(S%16)=CC=C%16C%17=CC=C(N(C%18=CC=C(OC)C=C%18)C%19=CC=C(OC)C=C%19)C=C%17)C%20=CC=C5C%10=C%20%11)S4)C=C3)C=C1,-5.4,-3.1,23.3,1.1,0.81,20.6,22.9,1.03,0.78,18.4,10.1002.anie.201806392
COC1=CC=C(N(C2=CC(N(C3=CC=C(OC)C=C3)C4=CC=C(OC)C=C4)=C5C=CC6=C(N(C7=CC=C(OC)C=C7)C8=CC=C(OC)C=C8)C=C(N(C9=CC=C(OC)C=C9)C%10=CC=C(OC)C=C%10)C%11=CC=C2C5=C%116)C%12=CC=C(OC)C=C%12)C=C1,-,-,21.2,0.79,0.56,9.3,22.9,1.03,0.78,18.4,10.1002.anie.201806392
CO(C)C1=CC(N(C2=CC(S3)=C(C=C2)C4=C3C5=C(N4CCCCCC)C6=CC=C(N(C7=CC(OC)=CC=C7)C8=CC=CC(OC)=C8)C=C6S5)C9=CC(OC)=CC=C9)=CC=C1,-5.31,-2.44,21.13,1.12,0.76,18.09,20.83,1.12,0.75,17.82,10.1016.j.nanoen.2017.12.002
COC1=CC=C(N(C2=CC=C(C3=CC(S4)=C(C=C3)C5=C4C6=C(N5CCCCCC)C7=CC=C(C(C=C8)=CC=C8N(C9=CC=C(OC)C=C9)C%10=CC=C(OC)C=C%10)C=C7S6)C=C2)C%11=CC=C(OC)C=C%11)C=C1,-5.2,-2.47,20.1,1.09,0.72,15.63,20.83,1.12,0.75,17.82,10.1016.j.nanoen.2017.12.002
COC1=CC=C(N(C2=CC(S3)=C(C=C2)C4=C3C5=C(N4CCCCCC)C6=CC=C(N(C7=CC=C(OC)C=C7)C8=CC=C(OC)C=C8)C=C6S5)C9=CC=C(OC)C=C9)C=C1,-5.05,-2.25,19.45,1.06,0.68,14.1,20.83,1.12,0.75,17.82,10.1016.j.nanoen.2017.12.002
COC1=CC=C(N(C2=CC=C(C3=CC=C(C(C=C4)=CC=C4C5=C(C6=CC=C(C7=CC=C(C(C=C8)=CC=C8N(C9=CC=C(OC)C=C9)C%10=CC=C(OC)C=C%10)C=C7)C=C6)C(C%11=CC=C(C%12=CC=C(C(C=C%13)=CC=C%13N(C%14=CC=C(OC)C=C%14)C%15=CC=C(OC)C=C%15)C=C%12)C=C%11)=C(C%16=CC=C(C%17=CC=C(C(C=C%18)=CC=C%18N(C%19=CC=C(OC)C=C%19)C%20=CC=C(OC)C=C%20)C=C%17)C=C%16)C(C%21=CC=C(C%22=CC=C(C(C=C%23)=CC=C%23N(C%24=CC=C(OC)C=C%24)C%25=CC=C(OC)C=C%25)C=C%22)C=C%21)=C5C%26=CC=C(C%27=CC=C(C(C=C%28)=CC=C%28N(C%29=CC=C(OC)C=C%29)C%30=CC=C(OC)C=C%30)C=C%27)C=C%26)C=C3)C=C2)C%31=CC=C(OC)C=C%31)C=C1,-5.3,-2.52,21.86,0.92,0.7,12.94,-,-,-,-,10.1021.acsami.8b15423
COC1=CC=C(N(C2=CC=C(C3=CC=C(C4=CC=C(S4)C5=C(C6=CC=C(S6)C7=CC=C(C(C=C8)=CC=C8N(C9=CC=C(OC)C=C9)C%10=CC=C(OC)C=C%10)C=C7)C(C%11=CC=C(S%11)C%12=CC=C(C(C=C%13)=CC=C%13N(C%14=CC=C(OC)C=C%14)C%15=CC=C(OC)C=C%15)C=C%12)=C(C%16=CC=C(S%16)C%17=CC=C(C(C=C%18)=CC=C%18N(C%19=CC=C(OC)C=C%19)C%20=CC=C(OC)C=C%20)C=C%17)C(C(S%21)=CC=C%21C%22=CC=C(C(C=C%23)=CC=C%23N(C%24=CC=C(OC)C=C%24)C%25=CC=C(OC)C=C%25)C=C%22)=C5C(S%26)=CC=C%26C%27=CC=C(C(C=C%28)=CC=C%28N(C%29=CC=C(OC)C=C%29)C%30=CC=C(OC)C=C%30)C=C%27)C=C3)C=C2)C%31=CC=C(OC)C=C%31)C=C1,-5.2,-2.1,22.79,1.03,0.74,17.29,-,-,-,-,10.1021.acsami.8b15423
CC(C)(C)C1=CC(C2=C3C(C4=CC(C(C)(C)C)=CC5=CC(C(C)(C)C)=CC6=C45)=C6S2)=C(C3=CC(C(C)(C)C)=C7)C7=C1,-5.34,-2.68,22.3,1.06,0.77,18.17,20.67,1.08,0.76,16.94,10.1002.aenm.201801248
