SMILES,HOMO,LUMO,J,V,FF,PCE,refJ,refV,refFF,refPCE,doi
CC(C)(C)C(C=C1C(C2=C3C=CC=C2)=C4C5=C3C6=CC(C(C)(C)C)=CC7=C6C5=CC(C(C)(C)C)=C7)=CC8=C1C4=CC(C(C)(C)C)=C8,-5.51,-3.18,15.8,0.64,0.42,4.25,20.67,1.08,0.76,16.94,10.1002.aenm.201801248
CCCCC(N1C2=C(C3=C1CC(C4=C(C)C=C(/C=C(C#N)/C#N)S4)S3)SCC2)CC,-5.32,-3.2,24.56,1.03,0.74,18.75,23.63,0.92,0.68,14.74,10.1016.j.solener.2018.09.002
CCCCC(N1C2=C(C3=C1CC(C4=NC=C(/C=C(C#N)/C#N)S4)S3)SCC2)CC,-5.41,-3.18,24.78,1.01,0.74,18.75,23.63,0.92,0.68,14.74,10.1016.j.solener.2018.09.002
COC(C=C1)CC=C1N(C2=CC=C(OC)C=C2)C(C=C3)=CC=C3C4=CC=C(C5=CC=C(N(C6=CC=C(OC)C=C6)C7=CC=C(OC)C=C7)C=C5)C8=C4NSN8,-5.35,-3.13,22.15,1.07,0.67,16.03,22.69,1.09,0.72,17.8,10.1021.acsami.8b04003
COC(C=C1)CC=C1N(C2=CC=C(OC)C=C2)C(C=C3)=CC=C3C(S4)C5=C(C4C6=CC=C(N(C7=CC=C(OC)C=C7)C8=CC=C(OC)C=C8)C=C6)N=C(C9=CC=C(OC)C=C9)C(C%10=CC=C(OC)C=C%10)=N5,-5.4,-3.57,23.15,1.11,0.75,19.27,22.69,1.09,0.72,17.8,10.1021.acsami.8b04003
COC(C=C1)CC=C1N(C2=CC=C(OC)C=C2)C(C=C3)=CC=C3C(S4)=CC=C4C5=CC=C(N(C6=CC=C(OC)C=C6)C7=CC=C(OC)C=C7)C=C5,-5.13,-2.38,19.1,0.47,0.36,0.02,-,-,-,-,10.1039.C8TA02960A
COC(C=C1)CC=C1N(C2=CC=C(OC)C=C2)C(C=C3)=CC=C3C(S4)=CC(COCC5=CC=C(C=C)C=C5)=C4C6=CC=C(N(C7=CC=C(OC)C=C7)C8=CC=C(OC)C=C8)C=C6,-5.15,-2.32,21.2,0.89,0.53,0.01,-,-,-,-,10.1039.C8TA02960A
CCCCCCCCCOC1=CC(C(C=C2)CC=C2N(C3=CC=CC=C3)C4=CC=CC=C4)=CC5=C1C6=C(C=C(C(C=C7)=CC=C7N(C8=CCCC=C8)C9=CC=CC=C9)C=C6)C5(C%10=CC=CC=C%10)C%11=CC=CC=C%11,-5.35,-,20.2,0.88,0.72,12.8,19.35,0.8,0.73,11.9,10.1016.j.nanoen.2018.01.005
CCCCCCCCCOC1=CC(C2=CC=C(N3C(C=CC=C4)=C4C5=C3C=CC=C5)C=C2)=CC6=C1C7=C(C=C(C8=CC=C(N9C(C=CC=C%10)=C%10C%11=C9C=CC=C%11)C=C8)C=C7)C6(C%12=CC=CC=C%12)C%13=CC=CC=C%13,-5.51,-,20.8,0.9,0.74,13.85,19.35,0.8,0.73,11.9,10.1016.j.nanoen.2018.01.005
C12=C(C=C(C(C=C3)=CC=C3N(C4=CCCC=C4)C5=CC=CC=C5)C=C2)C(C6=CC=CC=C6)(C7=CC=CC=C7)C8=C1C(OCCCCCCN9C%10=C(C=CC=C%10)C%11=C9C=CC=C%11)=CC(C(C=C%12)CC=C%12N(C%13=CC=CC=C%13)C%14=CC=CC=C%14)=C8,-5.38,-,20.71,0.87,0.69,12.43,19.35,0.8,0.73,11.9,10.1016.j.nanoen.2018.01.005
C12=C(C=C(C(C=C3)=CC=C3N(C4=C5CCC=C4)C6=C5C=CC=C6)C=C2)C(C7=CC=CC=C7)(C8=CC=CC=C8)C9=C1C(OCCCCCCN%10C%11=C(C=CC=C%11)C%12=C%10C=CC=C%12)=CC(C(C=C%13)CC=C%13N(C%14=C%15C=CC=C%14)C%16=C%15C=CC=C%16)=C9,-5.53,-,20.1,0.89,0.73,13.06,19.35,0.8,0.73,11.9,10.1016.j.nanoen.2018.01.005
COC1=CC=C(N(C2=CC3=C(N(C4=CC=C(C5=CC6=C(C(SC=C7)=C7N6C8=CC=C(OC)C=C8)S5)C=C4)C9=C3CC(N(C%10=CC=C(OC)C=C%10)C%11=CC=C(OC)C=C%11)C=C9)C=C2)C%12=CC=C(OC)C=C%12)C=C1,-5.01,-2.11,21.56,1.02,0.72,15.88,22.46,1.11,0.73,18.07,10.1021.acs.jpcc.8b09482
COC1=CC=C(N(C2=CC3=C(N(C4=CC=C(C5=CC6=C(C(SC=C7)=C7N6CCCCCC)S5)C=C4)C8=C3CC(N(C9=CC=C(OC)C=C9)C%10=CC=C(OC)C=C%10)C=C8)C=C2)C%11=CC=C(OC)C=C%11)C=C1,-5,-2.14,21.56,1.02,0.67,14.72,22.46,1.11,0.73,18.07,10.1021.acs.jpcc.8b09482
COC1=CC=C(N(C2=CC3=C(N(C4=CC=C(N5C(C=CC=C6)=C6SC7=C5C=CC=C7)C=C4)C8=C3CC(N(C9=CC=C(OC)C=C9)C%10=CC=C(OC)C=C%10)C=C8)C=C2)C%11=CC=C(OC)C=C%11)C=C1,-5.03,-1.9,21.97,1.01,0.67,14.86,22.46,1.11,0.73,18.07,10.1021.acs.jpcc.8b09482
COC1=CC=C(N(C2=CC3=C(N(C(C=C4)=CC5=C4NC(C(C6=CC=C(OC)C=C6)=CC=C7)=C7S5)C8=C3CC(N(C9=CC=C(OC)C=C9)C%10=CC=C(OC)C=C%10)C=C8)C=C2)C%11=CC=C(OC)C=C%11)C=C1,-5,-1.88,22.24,1.06,0.73,17.17,22.46,1.11,0.73,18.07,10.1021.acs.jpcc.8b09482
COC1=CC=C(N(C2=CC3=C(N(N(C4=C5CC(N(C6=CC=C(OC)C=C6)C7=CC=C(OC)C=C7)C=C4)C8=C5C=C(N(C9=CC=C(OC)C=C9)C%10=CC=C(OC)C=C%10)C=C8)C%11=C3CC(N(C%12=CC=C(OC)C=C%12)C%13=CC=C(OC)C=C%13)C=C%11)C=C2)C%14=CC=C(OC)C=C%14)C=C1,-5.11,-2.28,21.34,1.12,0.71,17,23.01,1.13,0.72,18.5,10.1002.aenm.201800538
COC1=CC=C(N(C2=CC(N(N(C3=C4CCC(N(C5=CC=C(OC)C=C5)C6=CC=C(OC)C=C6)=C3)C7=C4C=CC(N(C8=CC=C(OC)C=C8)C9=CC=C(OC)C=C9)=C7)C%10=C%11CCC(N(C%12=CC=C(OC)C=C%12)C%13=CC=C(OC)C=C%13)=C%10)=C%11C=C2)C%14=CC=C(OC)C=C%14)C=C1,-5.15,-2.25,22.38,1.1,0.73,17.6,23.01,1.13,0.72,18.5,10.1002.aenm.201800538
COC1=CC=C(N(C2=CC=C(C3=CC=C(C4=CC=C(N(C5=CC=C(OC)C=C5)C6=CC=C(OC)C=C6)C=C4)C7=C3N=C(C8=CC=CC=C8)C(C9=CC=CC=C9)=N7)C=C2)C%10=CC=C(OC)C=C%10)C=C1,-5.32,-2.94,21.02,1.09,0.6,14.23,22.58,1.09,0.76,18.54,10.1039.c8sc00731d
COC1=CC=C(N(C2=CC=C(C3=CC=C(C4=CC=C(N(C5=CC=C(OC)C=C5)C6=CC=C(OC)C=C6)C=C4)C7=C3N=C(C8=CC=C(C)S8)C(C9=CC=C(C)S9)=N7)C=C2)C%10=CC=C(OC)C=C%10)C=C1,-5.3,-2.98,22.09,1.11,0.77,19.62,22.58,1.09,0.76,18.54,10.1039.c8sc00731d
COC1=CC=C(N(C2=CC3=C(C(C(C4=C5C=C(N(C6=CC=C(OC)C=C6)C7=CC=C(OC)C=C7)C=C4C=C8)=C8C3=O)=C9C5=O)C(C=C9)=C2)C%10=CC=C(OC)C=C%10)C=C1,-5.46,-4.03,16.2,1,0.71,11.5,21,1.03,0.74,16,10.1039.c7tc05238c
CC1=CC=C(N(C2=CC3=C(C4=CC=C(N(C5=CC=C(C)C=C5)C6=CC=C(C)C=C6)C7=C4C3=CC=C7)C=C2)C8=CC=C(C)C=C8)C=C1,-4.94,-2.68,17.5,0.91,0.63,9.97,14.3,1.02,0.64,9.33,10.1039.c7sc05484j
COC1=CC=C(N(C2=CC3=C(C4=CC=C(N(C5=CC=C(OC)C=C5)C6=CC=C(OC)C=C6)C7=C4C3=CC=C7)C=C2)C8=CC=C(OC)C=C8)C=C1,-4.8,-2.59,19.5,0.85,0.63,10.45,14.3,1.02,0.64,9.33,10.1039.c7sc05484j
CC1=CC=C(N(C2=CC3=C(C4=CC=C(N(C5=CC=C(C)C=C5)C6=CC=C(C)C=C6)C7=C4C3=CC(C#N)=C7C#N)C=C2)C8=CC=C(C)C=C8)C=C1,-5.19,-3.46,20.4,1.08,0.74,16.34,14.3,1.02,0.64,9.33,10.1039.c7sc05484j
COC1=CC=C(N(C2=CC3=C(C4=CC=C(N(C5=CC=C(OC)C=C5)C6=CC=C(OC)C=C6)C7=C4C3=CC(C#N)=C7C#N)C=C2)C8=CC=C(OC)C=C8)C=C1,-5.02,-3.38,22.5,1.06,0.64,18.03,14.3,1.02,0.64,9.33,10.1039.c7sc05484j
CC.COC(C=C1)=CC=C1N(C2=CC=C(OC)C=C2)C(C=C3)=CC=C3C(C4)CC5=C4C6=C(C7=C5CC(C8=CC=C(N(C9=CC=C(OC)C=C9)C%10=CC=C(OC)C=C%10)C=C8)C7)C=CC=C6,-5.14,-,14.9,0.83,0.54,6.7,18.2,1.02,0.66,12.3,10.1039.c7qm00473g
COC(C=C1)=CC=C1N(C2=CC=C(OC)C=C2)C(C=C3)=CC=C3C4=CC5=C(C6=C(C7=C(C8=C6C=CC=C8)C=C(C9=CC=C(N(C%10=CC=C(OC)C=C%10)C%11=CC=C(OC)C=C%11)C=C9)S7)C%12=C5C=CC=C%12)S4,-5,-,17.3,0.75,0.44,5.7,18.2,1.02,0.66,12.3,10.1039.c7qm00473g
COC(C=C1)=CC=C1N(C2=CC=C(OC)C=C2)C3=CC=C(C4=CC=C(/C(C(C=C5)=CC=C5C6=CC=C(N(C7=CC=C(OC)C=C7)C8=CC=C(OC)C=C8)C=C6)=C(C(C=C9)=CC=C9C%10=CC=C(N(C%11=CC=C(OC)C=C%11)C%12=CC=C(OC)C=C%12)C=C%10)/C(C=C%13)=CC=C%13C%14=CC=C(N(C%15=CC=C(OC)C=C%15)C%16=CC=C(OC)C=C%16)C=C%14)C=C4)C=C3,-4.99,-,22.54,0.46,0.7,7.23,20.76,0.44,0.57,5.2,10.1021.jacs.7b10898
CCCCCCCCOC(C1=CC2C3=C(C=CC=C4CC5)C4=C5C=C3)=C6C7=C(C1=C(C2=CC=C8)C8=C9OCCCCCCCC)C9=CC(C%10=C(CC=C%11)C%12=C%11CCC=%12C=C%10)=C7CC=C6,-5.28,-2.76,18.7,1.03,0.67,13.1,21.09,1.04,0.77,16.8,10.1002.aenm.201703007
CCCCCCCCOC(C1=CC2C3=CC=C(N(C4=CC=C(OC)C=C4)C5=CC=C(OC)C=C5)C=C3)=C6C7=C(C1=C(C2=CC=C8)C8=C9OCCCCCCCC)C9=CC(C%10=CC=C(N(C%11=CC=C(OC)C=C%11)C%12=CC=C(OC)C=C%12)C=C%10)=C7CC=C6,-5.4,-2.93,21.07,1.03,0.8,17.5,21.09,1.04,0.77,16.8,10.1002.aenm.201703007
COC1=CC=C(N(C2=CC=C(C3CC4=C(OCC(CC)CCCC)C5=C(CC(C6=CC=C(N(C7=CC=C(OC)C=C7)C8=CC=C(OC)C=C8)C=C6)S5)C(OCC(CC)CCCC)=C4S3)C=C2)C9=CC=C(OC)C=C9)C=C1,-5.1,-2.36,12.5,0.98,0.68,8.4,12.5,0.98,0.68,8.4,10.1016.j.jpowsour.2018.08.070
COC1=CC=C(N(C2=CC(F)=C(C3CC4=C(OCC(CC)CCCC)C5=C(CC(C6=CC(F)=C(N(C7=CC=C(OC)C=C7)C8=CC=C(OC)C=C8)C=C6F)S5)C(OCC(CC)CCCC)=C4S3)C=C2F)C9=CC=C(OC)C=C9)C=C1,-5.18,-2.48,21.4,1,0.66,14.5,12.5,0.98,0.68,8.4,10.1016.j.jpowsour.2018.08.070
COC1=CC=C(N(C2=CC=C(C3=CC=C(N(C4=CC=C(OC)C=C4)C5=CC=C(OC)C=C5)C=C3C(C6=C7C8=C(C=CC=C8)C=C6)9C%10=C(O7)C(C=CC=C%11)=C%11C=C%10)C9=C2)C%12=CC=C(OC)C=C%12)C=C1,-5.11,-2.09,17.2,0.97,0.44,8,20.6,1.04,0.53,10.8,10.1039.C8CC04026E
COC1=CC=C(N(C2=CC=C(C3=CC=C(N(C4=CC=C(OC)C=C4)C5=CC=C(OC)C=C5)C=C3C(C6=C7C8=C(C=CC=C8)C(N(C9=CC=C(OC)C=C9)C%10=CC=C(OC)C=C%10)=C6)%11C%12=C(O7)C(C=CC=C%13)=C%13C(N(C%14=CC=C(OC)C=C%14)C%15=CC=C(OC)C=C%15)=C%12)C%11=C2)C%16=CC=C(OC)C=C%16)C=C1,-5.14,-2.22,21.9,1.01,0.7,15.9,20.6,1.04,0.53,10.8,10.1039.C8CC04026E
CC1=CC=C(N(C2=CC=C(C)C=C2)C3=CC=C(/C=C/C4=CC=C(N(C5=CC=C(C6=CC=C(N(C7=CC=C(/C=C/C8=CC=C(N(C9=CC=C(C)C=C9)C%10=CC=C(C)C=C%10)C=C8)C=C7)C%11=CC=C(C)C=C%11)C=C6)C=C5)C%12=CC=C(C)C=C%12)C=C4)C=C3)C=C1,-5.28,-2.49,19.06,0.97,0.71,13.23,22.32,0.99,0.75,16.61,10.1002.slct.201803002
COC1=CC=C(N(C2=CC=C(OC)C=C2)C3=CC=C(C4=CC5=C(S4)C6=C(CC(C7=CC=C(N(C8=CC=C(OC)C=C8)C9=CC=C(OC)C=C9)C=C7)=S6)C5)C=C3)C=C1,-5.32,-2.86,20.53,1.03,0.71,15.01,21.16,0.98,0.78,16.19,10.1039.c8se00119g
COC1=CC=C(N(C2=CC=C(OC)C=C2)C3=CC=C(C4=CC5=C(S4)C6=C(C=C(C7=CC=C(N(C8=CC=C(OC)C=C8)C9=CC=C(OC)C=C9)C=C7)S6)C5(CC(C)CCCC)CC(C)CCCC)C=C3)C=C1,-5.25,-2.81,19.55,1.02,0.78,15.51,21.16,0.98,0.78,16.19,10.1039.c8se00119g
COC1=CC=C(N(C2=CC=C(OC)C=C2)C3=CC=C(C4=CC=C(C5=C(OCCO6)C6=C(C7=CC=C(S7)C8=CC=C(N(C9=CC=C(OC)C=C9)C%10=CC=C(OC)C=C%10)C=C8)S5)S4)C=C3)C=C1,-5.25,-3.22,21.01,1.04,0.71,15.37,22.26,1.07,0.75,17.75,10.1039.C8CC06791K
CSC1=CC=C(N(C2=CC=C(SC)C=C2)C3=CC=C(C4=CC=C(C5=C(OCCO6)C6=C(C7=CC=C(S7)C8=CC=C(N(C9=CC=C(SC)C=C9)C%10=CC=C(SC)C=C%10)C=C8)S5)S4)C=C3)C=C1,-5.28,-3.34,15.72,1,0.45,7.08,22.26,1.07,0.75,17.75,10.1039.C8CC06791K
COC1=CC=C(N(C2=C3C=C(OC)C=C2)C4=CC=C(C5=CC=C(C6=C(OCCO7)C7=C(C8=CC=C(S8)C9=CC=C(N%10C%11=CC=C(OC)C=C%11C%12=C%10C=CC(OC)=C%12)C=C9)S6)S5)C=C4)C3=C1,-5.33,-3.22,21.4,0.99,0.68,14.44,22.26,1.07,0.75,17.75,10.1039.C8CC06791K
COC1=C(OC)C=C(N2C3=CC=C(C4=CC=C(C5=C(OCCO6)C6=C(C7=CC=C(S7)C8=CC=C(N(C9=CC(OC)=C(OC)C(OC)=C9)C%10=C%11C=CC=C%10)C%11=C8)S5)S4)C=C3C%12=C2C=CC=C%12)C=C1OC,-5.25,-3.14,19.34,1.04,0.66,13.3,22.26,1.07,0.75,17.75,10.1039.C8CC06791K
COC1=CC=C(N(C2=CC=C(C3=CC=C(C(C=C4)=C5C=C4C6=CC=C(N(C7=CC=C(OC)C=C7)C8=CC=C(OC)C=C8)C=C6)C(C59C(C=CC=C%10)=C%10C(C=CC=C%11)=C%11C9=O)=C3)C=C2)C%12=CC=C(OC)C=C%12)C=C1,-5.34,-2.39,20.91,1.03,0.68,14.72,20.94,1.06,0.73,16.08,10.1002.cssc.201801258
COC1=CC=C(N(C2=CC=C(C3=CC=C(C(C=C4)=C5C=C4C6=CC=C(N(C7=CC=C(OC)C=C7)C8=CC=C(OC)C=C8)C=C6)C(C59C(C=C(C%10=CC=C(N(C%11=CC=C(OC)C=C%11)C%12=CC=C(OC)C=C%12)C=C%10)C=C%13)=C%13C(C=CC(C%14=CC=C(N(C%15=CC=C(OC)C=C%15)C%16=CC=C(OC)C=C%16)C=C%14)=C%17)=C%17C9=O)=C3)C=C2)C%18=CC=C(OC)C=C%18)C=C1,-5.35,-2.47,22.18,1.02,0.71,16.06,20.94,1.06,0.73,16.08,10.1002.cssc.201801258
CCC(CCCC)CN1C2=C(SC(C3=CC=C(S3)C(C=C4OCCCCCC)=C(OCCCCCC)C=C4C5=CC=C(S5)/C=C6C(N(CCCCCCCC)C(S/6)=O)=O)=C2)C7=C1C=C(S7)C8=CC=C(S8)C(C=C9OCCCCCC)=C(OCCCCCC)C=C9C%10=CC=C(S%10)/C=C%11C(N(CCCCCCCC)C(S/%11)=O)=O,-5.15,-3.45,19.12,0.95,0.58,10.54,17.5,0.96,0.5,7.5,10.1080.15421406.2018.1456043
COC1=CC=CC=C1C2=CN=C(C3=CC=C(C4=NC=C(S4)C5=CC=CC=C5OC)C6=NSN=C63)S2,-5.66,-3.34,13.58,0.87,0.63,7.44,-,-,-,-,10.1002.ajoc.201800490
CC1=CC=CC=C1C2=CN=C(C3=CC=C(C4=NC=C(S4)C5=CC=CC=C5C)C6=NSN=C63)S2,-5.44,-3.09,11.87,0.83,0.63,6.2,-,-,-,-,10.1002.ajoc.201800490
C1(C2=CC=C(N(C3=CC=CC=C3)C4=CC=CC=C4)C=C2)=CN=C(C5=CC=C(C6=NC=C(C7=CC=C(N(C8=CC=CC=C8)C9=CC=CC=C9)C=C7)S6)C%10=NSN=C%105)S1,-5.6,-3.51,12.81,0.88,0.62,6.99,-,-,-,-,10.1002.ajoc.201800490
COC1=CC=C(N(C2=CC=C(C#CC#CC3=CC=C(N(C4=CC=C(OC)C=C4)C5=CC=C(OC)C=C5)C=C3)C=C2)C6=CC=C(OC)C=C6)C=C1,-,-,10.84,0.83,0.62,5.63,19.67,1,0.78,15.34,10.1039.C7CP07682G
CCOC1=CC=C(N(C2=CC=C(C#CC#CC3=CC=C(N(C4=CC=C(OCC)C=C4)C5=CC=C(OCC)C=C5)C=C3)C=C2)C6=CC=C(OCC)C=C6)C=C1,-5.38,-,4.1,0.77,0.32,1.02,19.67,1,0.78,15.34,10.1039.C7CP07682G
CCCOC1=CC=C(N(C2=CC=C(C#CC#CC3=CC=C(N(C4=CC=C(OCCC)C=C4)C5=CC=C(OCCC)C=C5)C=C3)C=C2)C6=CC=C(OCCC)C=C6)C=C1,-5.36,-,10.33,0.79,0.59,4.83,19.67,1,0.78,15.34,10.1039.C7CP07682G
CC(C)OC1=CC=C(N(C2=CC=C(C#CC#CC3=CC=C(N(C4=CC=C(OC(C)C)C=C4)C5=CC=C(OC(C)C)C=C5)C=C3)C=C2)C6=CC=C(OC(C)C)C=C6)C=C1,-5.38,-,9.89,0.8,0.41,3.24,19.67,1,0.78,15.34,10.1039.C7CP07682G
CCCCOC1=CC=C(N(C2=CC=C(OCCCC)C=C2)C3=CC=C(C#CC#CC4=CC=C(N(C5=CC=C(OCCCC)C=C5)C6=CC=C(OCCCC)C=C6)C=C4)C=C3)C=C1,-5.36,-,7.02,0.77,0.61,3.29,19.67,1,0.78,15.34,10.1039.C7CP07682G
COC1=CC=C(N(C2=CC=C(OC)C=C2)C3=CC=C4C(C5=CC(N(C6=CC=C(OC)C=C6)C7=CC=C(OC)C=C7)=CC=C5N4C8=CC=C(N(C9=CC=C(N%10C%11=CC=C(N(C%12=CC=C(OC)C=C%12)C%13=CC=C(OC)C=C%13)C=C%11C%14=CC(N(C%15=CC=C(OC)C=C%15)C%16=CC=C(OC)C=C%16)=CC=C%14%10)C=C9)C%17=CC=C(N%18C%19=CC=C(N(C%20=CC=C(OC)C=C%20)C%21=CC=C(OC)C=C%21)C=C%19C%22=CC(N(C%23=CC=C(OC)C=C%23)C%24=CC=C(OC)C=C%24)=CC=C%22%18)C=C%17)C=C8)=C3)C=C1,-5.03,-2.35,21.98,1.2,0.72,15.89,22.07,1.07,0.72,17.13,10.1007.s11696-018-0484-9
C12=C(C3=CC=CS3)C4=NSN=C4C(C5=CC=CS5)=C1N=C(C6=CC=CC=C6)N2,-5.02,-2.58,4.06,0.68,0.2,0.55,-,-,-,-,10.1109.ICEE44586.2018.8937938
FC(C=C1)=CC=C1C2=NC3=C(C4=CC=CS4)C5=NSN=C5C(C6=CC=CS6)=C3N2,-5.17,-2.78,4.24,0.65,0.21,0.58,-,-,-,-,10.1109.ICEE44586.2018.8937938
COC1=CC=C(N(C2=CC=C(C3=CC=C(C4=CC=C(C5=CC=C(N(C6=CC=C(OC)C=C6)C7=CC=C(OC)C=C7)C=C5)S4)S3)C=C2)C8=CC=C(OC)C=C8)C=C1,-5.33,-2.46,22.99,0.98,0.45,8.63,22.29,1.04,0.75,17.47,10.1002.ente.201800939
COC1=CC=C(N(C2=CC=C(C3=CC(C4)=C(S3)C5=C4C=C(C6=CC=C(N(C7=CC=C(OC)C=C7)C8=CC=C(OC)C=C8)C=C6)S5)C=C2)C9=CC=C(OC)C=C9)C=C1,-5.17,-2.6,22.59,1.05,0.77,18.77,22.29,1.04,0.75,17.47,10.1002.ente.201800939
COC1=CC=C(N(C2=CC=C(C3=CC(C4(CCCCCC)CCCCCC)=C(S3)C5=C4C=C(C6=CC=C(N(C7=CC=C(OC)C=C7)C8=CC=C(OC)C=C8)C=C6)S5)C=C2)C9=CC=C(OC)C=C9)C=C1,-5.15,-2.61,21.24,1.07,0.77,15.67,22.29,1.04,0.75,17.47,10.1002.ente.201800939
COC1=CC=C(N(C2=CC=C(N(C3=CC=C(C4=CC5=C(C(SC(C6=CC=C(N7C8=CC=C(N(C9=CC=C(OC)C=C9)C%10=CC=C(OC)C=C%10)C=C8C%11=C7C=CC(N(C%12=CC=C(OC)C=C%12)C%13=CC=C(OC)C=C%13)=C%11)C=C6)=C%14)=C%14C5)S4)C=C3)C%15=C%16C=C(N(C%17=CC=C(OC)C=C%17)C%18=CC=C(OC)C=C%18)C=C%15)C%16=C2)C%19=CC=C(OC)C=C%19)C=C1,-5.18,-2.56,22.37,1.04,0.76,17.27,22.29,1.04,0.75,17.47,10.1002.ente.201800939
COC1=CC=C(N(C2=CC=C(N(C3=CC=C(C4=CC5=C(C(SC(C6=CC=C(N7C8=CC=C(N(C9=CC=C(OC)C=C9)C%10=CC=C(OC)C=C%10)C=C8C%11=C7C=CC(N(C%12=CC=C(OC)C=C%12)C%13=CC=C(OC)C=C%13)=C%11)C=C6)=C%14)=C%14C5(CCCCCC)CCCCCC)S4)C=C3)C%15=C%16C=C(N(C%17=CC=C(OC)C=C%17)C%18=CC=C(OC)C=C%18)C=C%15)C%16=C2)C%19=CC=C(OC)C=C%19)C=C1,-5.18,-2.6,21.22,1.04,0.69,14.48,22.29,1.04,0.75,17.47,10.1002.ente.201800939
COC1=CC=C(N(C2=CC=C(C3=CC4=C(N(CCCCCC)C5=C4C=C(C6=CC=C(N(C7=CC=C(OC)C=C7)C8=CC=C(OC)C=C8)C=C6)C=C5)C=C3)C=C2)C9=CC=C(OC)C=C9)C=C1,-5.22,-2.02,18.9,1.02,0.5,9.6,17.8,0.99,0.57,10.1,10.1021.acsaem.7b00208
COC1=CC=C(N(C2=CC=C(C3=CC(S4)=C(N(CCCCCC)C5=C4C=C(C6=CC=C(N(C7=CC=C(OC)C=C7)C8=CC=C(OC)C=C8)C=C6)C=C5)C=C3)C=C2)C9=CC=C(OC)C=C9)C=C1,-5.17,-2.17,21.8,0.99,0.53,11.4,17.8,0.99,0.57,10.1,10.1021.acsaem.7b00208
CSC1=C(SC)S/C(S1)=C\C2=CC(C34C5=C(C6=C4C=C(C=C6)/C=C(S7)\SC(SC)=C7SC)C=CC(/C=C(S8)\SC(SC)=C8SC)=C5)=C(OC9=C3C=C(C=C9)/C=C(S%10)\SC(SC)=C%10SC)C=C2,-5.16,-2.53,19.23,1.03,0.54,10.67,14.53,0.66,0.35,3.37,10.1021.acs.orglett.7b03918
CSC1=C(SC)S/C(S1)=C\C2=CC(C(C3=C4C=C(C=C(S5)SC(SC)=C5SC)C=C3)6C7=C(O4)C=C(C=C(S8)SC(SC)=C8SC)C=C7)=C(C9=C6C=C(C=C9)/C=C(S%10)\SC(SC)=C%10SC)C=C2,-5.19,-2.57,19.05,0.98,0.47,8.78,14.53,0.66,0.35,3.37,10.1021.acs.orglett.7b03918
COC(C=C1)=CC=C1N(C2=CC=C(OC)C=C2)C3=CC4=C(C=C3)C(CCP(O)(O)=O)C5=C4C=C(N(C6=CC=C(OC)C=C6)C7=CC=C(OC)C=C7)C=C5,-,-,21.9,1.09,0.81,17.8,21.8,1.13,0.81,19.2,10.1002.aenm.201801892
COC1=CC=C(N(C2=CC=C(C(C=C3)=CC4=C3N(C5=CC=C(N(C6=CC=C(OC)C=C6)C7=CC=C(OC)C=C7)C=C5)C8=CC=C(C9=CC=C(N(C%10=CC=C(OC)C=C%10)C%11=CC=C(OC)C=C%11)C=C9)C=C84)C=C2)C%12=CC=C(OC)C=C%12)C=C1,-5.24,-1.93,19.6,1.02,0.71,14.29,22.02,1.11,0.75,18.25,10.1039.c8tc04191a